     372 WR     0x06228 = 0x123D1210
     373 WR     0x06270 = 0x000D0000
     374 WR     0x06274 = 0x00001C00
     375 WR     0x06278 = 0x123D1210
     376 WR     0x062C0 = 0x000D0000
     377 WR     0x062C4 = 0x00001C00
     378 WR     0x062C8 = 0x123D1210
     379 WR     0x06320 = 0x000D0000
     380 WR     0x06324 = 0x00001C00
     381 WR     0x06328 = 0x123D1210
     382 WR     0x06370 = 0x000D0000
     383 WR     0x06374 = 0x00001C00
     384 WR     0x06378 = 0x123D1210
     385 WR     0x063C0 = 0x000D0000
     386 WR     0x063C4 = 0x00001C00
     387 WR     0x063C8 = 0x123D1210
     388 ORACLE 0x065FC = 0x00001000
     389 WR     0x065FC = 0x00005000
     390 ORACLE 0x065FC = 0x00005000
     391 WR     0x065FC = 0x00001000
     392 ORACLE 0x065FC = 0x00001000
     393 WR     0x065FC = 0x00005000
     394 ORACLE 0x065FC = 0x00005000
     395 WR     0x065FC = 0x00001000
     396 ORACLE 0x065FC = 0x00001000
     397 WR     0x065FC = 0x00005000
     398 ORACLE 0x065FC = 0x00005000
     399 WR     0x065FC = 0x00001000
     400 ORACLE 0x065FC = 0x00001000
     401 WR     0x065FC = 0x00005000
     402 ORACLE 0x065FC = 0x00005000
     403 WR     0x065FC = 0x00001000
     404 ORACLE 0x065FC = 0x00001000
     405 WR     0x065FC = 0x00005000
