Analyzer3.ClearDataFlow calls XArray.XClear
  ACli.Report calls PrintMessage
  ACli.Report calls Add
  ACli.Report calls LessThan
  ACli.Report calls XArray.XGet
  ACli.Report calls PrintMessage
  ACli.Report calls PrintMessage
  ACli.Report calls PrintMessage
  ACli.Report calls Add
  ACli.Report calls Add
  ACli.Report calls Add
  ACli.Report calls GreaterThan
  ACli.Report calls PrintMessage
  ACli.Report calls PrintMessage
  ACli.Report calls PrintNumber
  ACli.Report calls PrintMessage
  ACli.Report calls PrintMessage
  ACli.Report calls LessThan
  ACli.Report calls XArray.XGet
  ACli.Report calls PrintMessage
  ACli.Report calls PrintMessage
  ACli.Report calls PrintMessage
  ACli.Report calls Add
  ACli.Report calls LessThan
  ACli.Report calls XArray.XGet
  ACli.Report calls PrintMessage
  ACli.Report calls PrintMessage
  ACli.Report calls PrintMessage
  ACli.Report calls Add
  ACli.Report calls LessThan
  ACli.Report calls XArray.XGet
  ACli.Report calls PrintMessage
  ACli.Report calls PrintMessage
  ACli.Report calls PrintMessage
  ACli.Report calls Add
  ACli.Report calls GreaterThan
  ACli.Report calls PrintMessage
  ACli.Report calls PrintMessage
  ACli.Report calls PrintNumber
  ACli.Report calls PrintMessage
  ACli.Report calls PrintMessage
  ACli.Report calls LessThan
  ACli.Report calls XArray.XGet
  ACli.Report calls PrintMessage
  ACli.Report calls PrintMessage
  ACli.Report calls PrintMessage
  ACli.Report calls Add
  ACli.Report calls Add
  ACli.Report calls Add
  ACli.Report calls Add
  ACli.Report calls PrintMessage
  ACli.Report calls PrintMessage
  ACli.Report calls PrintNumber
  ACli.Report calls PrintMessage
  ACli.Report calls PrintNumber
  ACli.Report calls PrintMessage
  ACli.Report calls PrintNumber
  ACli.Report calls PrintMessage
  ACli.Report calls PrintMessage
  Main calls Arena_Init
  Main calls ACli.GetArg
  Main calls ACli.GetArg
  Main calls EqualTo
  Main calls PrintMessage
  Main calls PrintMessage
  Main calls ProcessExit
  Main calls PrintMessage
  Main calls PrintMessage
  Main calls PrintMessage
  Main calls ACli.LoadFile
  Main calls EqualTo
  Main calls PrintMessage
  Main calls PrintMessage
  Main calls PrintMessage
  Main calls ProcessExit
  Main calls StringLength
  Main calls Import_ResolveAll
  Main calls EqualTo
  Main calls FileMap_Init
  Main calls FileMap_AddEntry
  Main calls StringLength
  Main calls Lex_Init
  Main calls Lex_Tokenize
  Main calls EqualTo
  Main calls PrintMessage
  Main calls PrintNumber
  Main calls PrintMessage
  Main calls ProcessExit
  Main calls Parse_Init
  Main calls Parse_Program
  Main calls EqualTo
  Main calls Parse_HasError
  Main calls PrintMessage
  Main calls PrintNumber
  Main calls PrintMessage
  Main calls NotEqual
  Main calls PrintMessage
  Main calls PrintMessage
  Main calls ProcessExit
  Main calls Analyzer.Init
  Main calls Analyzer.WalkNode
  Main calls Analyzer.PostAnalysis
  Main calls Analyzer2.Run
  Main calls Analyzer3.Run
  Main calls ACli.Report
  Main calls Add
  Main calls GreaterThan
  Main calls ProcessExit
  Main calls Add
  Main calls Add
  Main calls GreaterThan
  Main calls ProcessExit

========================================
WARNINGS (402):
========================================
  [MEM] Variable 'old_capacity' assigned but never used in 'XArray.XResize'
  [MEM] Line 5410: 'value' allocated but not deallocated/returned in 'Lex_TokenizeSingleCharToken'
  [MEM] Line 5602: 'new_value' allocated but not deallocated/returned in 'Lex_TokenizeIdentifier'
  [MEM] Variable 'child' assigned but never used in 'AST_Free'
  [MEM] Variable 'name' assigned but never used in 'Parse_IdentifierDeclaration'
  [MEM] Line 11301: 'lib_base' allocated but not deallocated/returned in 'Import_Init'
  [MEM] Variable 'module_idx' assigned but never used in 'Import_GetPrefixedFor'
  [MEM] Variable 'map_mod' assigned but never used in 'Import_GetPrefixedFor'
  [MEM] Variable 'start' assigned but never used in 'JSON.ParseString'
  [MEM] Line 15572: 'str' allocated but not deallocated/returned in 'JSON.ParseString'
